"";"Consistancy";"variable";"Count";"Tool";"dataset"
"ArcticFireSoils.68";"12";"Count";0;"edgeR";"ArcticFireSoils"
"ArcticFireSoils.69";"13";"Count";0;"edgeR";"ArcticFireSoils"
"ArcticFireSoils.70";"14";"Count";0;"edgeR";"ArcticFireSoils"
"ArcticFireSoils.71";"1";"Count";0;"LEfSe";"ArcticFireSoils"
"ArcticFireSoils.72";"2";"Count";0;"LEfSe";"ArcticFireSoils"
"ArcticFireSoils.73";"3";"Count";1;"LEfSe";"ArcticFireSoils"
"ArcticFireSoils.74";"4";"Count";2;"LEfSe";"ArcticFireSoils"
"ArcticFireSoils.75";"5";"Count";1;"LEfSe";"ArcticFireSoils"
"ArcticFireSoils.76";"6";"Count";2;"LEfSe";"ArcticFireSoils"
"ArcticFireSoils.77";"7";"Count";3;"LEfSe";"ArcticFireSoils"
"ArcticFireSoils.78";"8";"Count";6;"LEfSe";"ArcticFireSoils"
"ArcticFireSoils.79";"9";"Count";2;"LEfSe";"ArcticFireSoils"
"ArcticFireSoils.80";"10";"Count";2;"LEfSe";"ArcticFireSoils"
"ArcticFireSoils.81";"11";"Count";1;"LEfSe";"ArcticFireSoils"
"ArcticFireSoils.82";"12";"Count";0;"LEfSe";"ArcticFireSoils"
"ArcticFireSoils.83";"13";"Count";0;"LEfSe";"ArcticFireSoils"
"ArcticFireSoils.84";"14";"Count";0;"LEfSe";"ArcticFireSoils"
"ArcticFireSoils.85";"1";"Count";0;"MaAsLin2";"ArcticFireSoils"
"ArcticFireSoils.86";"2";"Count";1;"MaAsLin2";"ArcticFireSoils"
"ArcticFireSoils.87";"3";"Count";2;"MaAsLin2";"ArcticFireSoils"
"ArcticFireSoils.88";"4";"Count";2;"MaAsLin2";"ArcticFireSoils"
"ArcticFireSoils.89";"5";"Count";2;"MaAsLin2";"ArcticFireSoils"
"ArcticFireSoils.90";"6";"Count";2;"MaAsLin2";"ArcticFireSoils"
"ArcticFireSoils.91";"7";"Count";2;"MaAsLin2";"ArcticFireSoils"
"ArcticFireSoils.92";"8";"Count";5;"MaAsLin2";"ArcticFireSoils"
"ArcticFireSoils.93";"9";"Count";1;"MaAsLin2";"ArcticFireSoils"
"ArcticFireSoils.94";"10";"Count";2;"MaAsLin2";"ArcticFireSoils"
"ArcticFireSoils.95";"11";"Count";1;"MaAsLin2";"ArcticFireSoils"
"ArcticFireSoils.96";"12";"Count";0;"MaAsLin2";"ArcticFireSoils"
"ArcticFireSoils.97";"13";"Count";0;"MaAsLin2";"ArcticFireSoils"
"ArcticFireSoils.98";"14";"Count";0;"MaAsLin2";"ArcticFireSoils"
"ArcticFireSoils.99";"1";"Count";0;"MaAsLin2 (rare)";"ArcticFireSoils"
"ArcticFireSoils.100";"2";"Count";0;"MaAsLin2 (rare)";"ArcticFireSoils"
"ArcticFireSoils.101";"3";"Count";2;"MaAsLin2 (rare)";"ArcticFireSoils"
"ArcticFireSoils.102";"4";"Count";2;"MaAsLin2 (rare)";"ArcticFireSoils"
"ArcticFireSoils.103";"5";"Count";2;"MaAsLin2 (rare)";"ArcticFireSoils"
"ArcticFireSoils.104";"6";"Count";3;"MaAsLin2 (rare)";"ArcticFireSoils"
"ArcticFireSoils.105";"7";"Count";2;"MaAsLin2 (rare)";"ArcticFireSoils"
"ArcticFireSoils.106";"8";"Count";5;"MaAsLin2 (rare)";"ArcticFireSoils"
"ArcticFireSoils.107";"9";"Count";1;"MaAsLin2 (rare)";"ArcticFireSoils"
"ArcticFireSoils.108";"10";"Count";2;"MaAsLin2 (rare)";"ArcticFireSoils"
"ArcticFireSoils.109";"11";"Count";1;"MaAsLin2 (rare)";"ArcticFireSoils"
"ArcticFireSoils.110";"12";"Count";0;"MaAsLin2 (rare)";"ArcticFireSoils"
"ArcticFireSoils.111";"13";"Count";0;"MaAsLin2 (rare)";"ArcticFireSoils"
"ArcticFireSoils.112";"14";"Count";0;"MaAsLin2 (rare)";"ArcticFireSoils"
"ArcticFireSoils.113";"1";"Count";8;"metagenomeSeq";"ArcticFireSoils"
"ArcticFireSoils.114";"2";"Count";4;"metagenomeSeq";"ArcticFireSoils"
"ArcticFireSoils.115";"3";"Count";1;"metagenomeSeq";"ArcticFireSoils"
"ArcticFireSoils.116";"4";"Count";1;"metagenomeSeq";"ArcticFireSoils"
"ArcticFireSoils.117";"5";"Count";1;"metagenomeSeq";"ArcticFireSoils"
"ArcticFireSoils.118";"6";"Count";0;"metagenomeSeq";"ArcticFireSoils"
"ArcticFireSoils.119";"7";"Count";1;"metagenomeSeq";"ArcticFireSoils"
"ArcticFireSoils.120";"8";"Count";1;"metagenomeSeq";"ArcticFireSoils"
"ArcticFireSoils.121";"9";"Count";2;"metagenomeSeq";"ArcticFireSoils"
"ArcticFireSoils.122";"10";"Count";0;"metagenomeSeq";"ArcticFireSoils"
"ArcticFireSoils.123";"11";"Count";1;"metagenomeSeq";"ArcticFireSoils"
"ArcticFireSoils.124";"12";"Count";0;"metagenomeSeq";"ArcticFireSoils"
"ArcticFireSoils.125";"13";"Count";0;"metagenomeSeq";"ArcticFireSoils"
"ArcticFireSoils.126";"14";"Count";0;"metagenomeSeq";"ArcticFireSoils"
"ArcticFireSoils.127";"1";"Count";7;"t-test (rare)";"ArcticFireSoils"
"ArcticFireSoils.128";"2";"Count";5;"t-test (rare)";"ArcticFireSoils"
"ArcticFireSoils.129";"3";"Count";0;"t-test (rare)";"ArcticFireSoils"
"ArcticFireSoils.130";"4";"Count";0;"t-test (rare)";"ArcticFireSoils"
"ArcticFireSoils.131";"5";"Count";0;"t-test (rare)";"ArcticFireSoils"
"ArcticFireSoils.132";"6";"Count";3;"t-test (rare)";"ArcticFireSoils"
"ArcticFireSoils.133";"7";"Count";1;"t-test (rare)";"ArcticFireSoils"
"ArcticFireSoils.134";"8";"Count";1;"t-test (rare)";"ArcticFireSoils"
"ArcticFireSoils.135";"9";"Count";0;"t-test (rare)";"ArcticFireSoils"
"ArcticFireSoils.136";"10";"Count";2;"t-test (rare)";"ArcticFireSoils"
"ArcticFireSoils.137";"11";"Count";1;"t-test (rare)";"ArcticFireSoils"
"ArcticFireSoils.138";"12";"Count";0;"t-test (rare)";"ArcticFireSoils"
"ArcticFireSoils.139";"13";"Count";0;"t-test (rare)";"ArcticFireSoils"
"ArcticFireSoils.140";"14";"Count";0;"t-test (rare)";"ArcticFireSoils"
"ArcticFireSoils.141";"1";"Count";3;"Wilcoxon (CLR)";"ArcticFireSoils"
"ArcticFireSoils.142";"2";"Count";4;"Wilcoxon (CLR)";"ArcticFireSoils"
"ArcticFireSoils.143";"3";"Count";1;"Wilcoxon (CLR)";"ArcticFireSoils"
"ArcticFireSoils.144";"4";"Count";0;"Wilcoxon (CLR)";"ArcticFireSoils"
"ArcticFireSoils.145";"5";"Count";1;"Wilcoxon (CLR)";"ArcticFireSoils"
"ArcticFireSoils.146";"6";"Count";3;"Wilcoxon (CLR)";"ArcticFireSoils"
"ArcticFireSoils.147";"7";"Count";1;"Wilcoxon (CLR)";"ArcticFireSoils"
"ArcticFireSoils.148";"8";"Count";3;"Wilcoxon (CLR)";"ArcticFireSoils"
"ArcticFireSoils.149";"9";"Count";1;"Wilcoxon (CLR)";"ArcticFireSoils"
"ArcticFireSoils.150";"10";"Count";2;"Wilcoxon (CLR)";"ArcticFireSoils"
"ArcticFireSoils.151";"11";"Count";1;"Wilcoxon (CLR)";"ArcticFireSoils"
"ArcticFireSoils.152";"12";"Count";0;"Wilcoxon (CLR)";"ArcticFireSoils"
"ArcticFireSoils.153";"13";"Count";0;"Wilcoxon (CLR)";"ArcticFireSoils"
"ArcticFireSoils.154";"14";"Count";0;"Wilcoxon (CLR)";"ArcticFireSoils"
"ArcticFireSoils.155";"1";"Count";0;"Wilcoxon (rare)";"ArcticFireSoils"
"ArcticFireSoils.156";"2";"Count";0;"Wilcoxon (rare)";"ArcticFireSoils"
"ArcticFireSoils.157";"3";"Count";1;"Wilcoxon (rare)";"ArcticFireSoils"
"ArcticFireSoils.158";"4";"Count";2;"Wilcoxon (rare)";"ArcticFireSoils"
"ArcticFireSoils.159";"5";"Count";1;"Wilcoxon (rare)";"ArcticFireSoils"
"ArcticFireSoils.160";"6";"Count";2;"Wilcoxon (rare)";"ArcticFireSoils"
"ArcticFireSoils.161";"7";"Count";3;"Wilcoxon (rare)";"ArcticFireSoils"
"ArcticFireSoils.162";"8";"Count";6;"Wilcoxon (rare)";"ArcticFireSoils"
"ArcticFireSoils.163";"9";"Count";2;"Wilcoxon (rare)";"ArcticFireSoils"
"ArcticFireSoils.164";"10";"Count";2;"Wilcoxon (rare)";"ArcticFireSoils"
"ArcticFireSoils.165";"11";"Count";1;"Wilcoxon (rare)";"ArcticFireSoils"
"ArcticFireSoils.166";"12";"Count";0;"Wilcoxon (rare)";"ArcticFireSoils"
"ArcticFireSoils.167";"13";"Count";0;"Wilcoxon (rare)";"ArcticFireSoils"
"ArcticFireSoils.168";"14";"Count";0;"Wilcoxon (rare)";"ArcticFireSoils"
"ArcticFireSoils.169";"1";"Count";9;"limma voom (TMM)";"ArcticFireSoils"
