"";"Consistancy";"variable";"Count";"Tool";"dataset"
"Blueberry.142";"2";"Count";5;"Wilcoxon (CLR)";"Blueberry"
"Blueberry.143";"3";"Count";0;"Wilcoxon (CLR)";"Blueberry"
"Blueberry.144";"4";"Count";2;"Wilcoxon (CLR)";"Blueberry"
"Blueberry.145";"5";"Count";3;"Wilcoxon (CLR)";"Blueberry"
"Blueberry.146";"6";"Count";2;"Wilcoxon (CLR)";"Blueberry"
"Blueberry.147";"7";"Count";1;"Wilcoxon (CLR)";"Blueberry"
"Blueberry.148";"8";"Count";2;"Wilcoxon (CLR)";"Blueberry"
"Blueberry.149";"9";"Count";1;"Wilcoxon (CLR)";"Blueberry"
"Blueberry.150";"10";"Count";1;"Wilcoxon (CLR)";"Blueberry"
"Blueberry.151";"11";"Count";1;"Wilcoxon (CLR)";"Blueberry"
"Blueberry.152";"12";"Count";0;"Wilcoxon (CLR)";"Blueberry"
"Blueberry.153";"13";"Count";1;"Wilcoxon (CLR)";"Blueberry"
"Blueberry.154";"14";"Count";0;"Wilcoxon (CLR)";"Blueberry"
"Blueberry.155";"1";"Count";0;"Wilcoxon (rare)";"Blueberry"
"Blueberry.156";"2";"Count";1;"Wilcoxon (rare)";"Blueberry"
"Blueberry.157";"3";"Count";1;"Wilcoxon (rare)";"Blueberry"
"Blueberry.158";"4";"Count";4;"Wilcoxon (rare)";"Blueberry"
"Blueberry.159";"5";"Count";2;"Wilcoxon (rare)";"Blueberry"
"Blueberry.160";"6";"Count";4;"Wilcoxon (rare)";"Blueberry"
"Blueberry.161";"7";"Count";1;"Wilcoxon (rare)";"Blueberry"
"Blueberry.162";"8";"Count";3;"Wilcoxon (rare)";"Blueberry"
"Blueberry.163";"9";"Count";1;"Wilcoxon (rare)";"Blueberry"
"Blueberry.164";"10";"Count";1;"Wilcoxon (rare)";"Blueberry"
"Blueberry.165";"11";"Count";1;"Wilcoxon (rare)";"Blueberry"
"Blueberry.166";"12";"Count";0;"Wilcoxon (rare)";"Blueberry"
"Blueberry.167";"13";"Count";1;"Wilcoxon (rare)";"Blueberry"
"Blueberry.168";"14";"Count";0;"Wilcoxon (rare)";"Blueberry"
"Blueberry.169";"1";"Count";6;"limma voom (TMM)";"Blueberry"
"Blueberry.170";"2";"Count";3;"limma voom (TMM)";"Blueberry"
"Blueberry.171";"3";"Count";2;"limma voom (TMM)";"Blueberry"
"Blueberry.172";"4";"Count";2;"limma voom (TMM)";"Blueberry"
"Blueberry.173";"5";"Count";2;"limma voom (TMM)";"Blueberry"
"Blueberry.174";"6";"Count";2;"limma voom (TMM)";"Blueberry"
"Blueberry.175";"7";"Count";0;"limma voom (TMM)";"Blueberry"
"Blueberry.176";"8";"Count";1;"limma voom (TMM)";"Blueberry"
"Blueberry.177";"9";"Count";0;"limma voom (TMM)";"Blueberry"
"Blueberry.178";"10";"Count";1;"limma voom (TMM)";"Blueberry"
"Blueberry.179";"11";"Count";0;"limma voom (TMM)";"Blueberry"
"Blueberry.180";"12";"Count";0;"limma voom (TMM)";"Blueberry"
"Blueberry.181";"13";"Count";1;"limma voom (TMM)";"Blueberry"
"Blueberry.182";"14";"Count";0;"limma voom (TMM)";"Blueberry"
"Blueberry.183";"1";"Count";7;"limma voom (TMMwsp)";"Blueberry"
"Blueberry.184";"2";"Count";2;"limma voom (TMMwsp)";"Blueberry"
"Blueberry.185";"3";"Count";2;"limma voom (TMMwsp)";"Blueberry"
"Blueberry.186";"4";"Count";3;"limma voom (TMMwsp)";"Blueberry"
"Blueberry.187";"5";"Count";1;"limma voom (TMMwsp)";"Blueberry"
"Blueberry.188";"6";"Count";3;"limma voom (TMMwsp)";"Blueberry"
"Blueberry.189";"7";"Count";0;"limma voom (TMMwsp)";"Blueberry"
"Blueberry.190";"8";"Count";1;"limma voom (TMMwsp)";"Blueberry"
"Blueberry.191";"9";"Count";0;"limma voom (TMMwsp)";"Blueberry"
"Blueberry.192";"10";"Count";0;"limma voom (TMMwsp)";"Blueberry"
"Blueberry.193";"11";"Count";0;"limma voom (TMMwsp)";"Blueberry"
"Blueberry.194";"12";"Count";0;"limma voom (TMMwsp)";"Blueberry"
"Blueberry.195";"13";"Count";1;"limma voom (TMMwsp)";"Blueberry"
"Blueberry.196";"14";"Count";0;"limma voom (TMMwsp)";"Blueberry"
"cdi_schubert.1";"1";"Count";1;"ALDEx2";"cdi_schubert"
"cdi_schubert.2";"2";"Count";1;"ALDEx2";"cdi_schubert"
"cdi_schubert.3";"3";"Count";0;"ALDEx2";"cdi_schubert"
"cdi_schubert.4";"4";"Count";2;"ALDEx2";"cdi_schubert"
"cdi_schubert.5";"5";"Count";3;"ALDEx2";"cdi_schubert"
"cdi_schubert.6";"6";"Count";2;"ALDEx2";"cdi_schubert"
"cdi_schubert.7";"7";"Count";1;"ALDEx2";"cdi_schubert"
"cdi_schubert.8";"8";"Count";5;"ALDEx2";"cdi_schubert"
"cdi_schubert.9";"9";"Count";1;"ALDEx2";"cdi_schubert"
"cdi_schubert.10";"10";"Count";0;"ALDEx2";"cdi_schubert"
"cdi_schubert.11";"11";"Count";3;"ALDEx2";"cdi_schubert"
"cdi_schubert.12";"12";"Count";1;"ALDEx2";"cdi_schubert"
"cdi_schubert.13";"13";"Count";0;"ALDEx2";"cdi_schubert"
"cdi_schubert.14";"14";"Count";0;"ALDEx2";"cdi_schubert"
"cdi_schubert.15";"1";"Count";1;"ANCOM-II";"cdi_schubert"
"cdi_schubert.16";"2";"Count";1;"ANCOM-II";"cdi_schubert"
"cdi_schubert.17";"3";"Count";1;"ANCOM-II";"cdi_schubert"
"cdi_schubert.18";"4";"Count";3;"ANCOM-II";"cdi_schubert"
"cdi_schubert.19";"5";"Count";1;"ANCOM-II";"cdi_schubert"
"cdi_schubert.20";"6";"Count";3;"ANCOM-II";"cdi_schubert"
"cdi_schubert.21";"7";"Count";2;"ANCOM-II";"cdi_schubert"
"cdi_schubert.22";"8";"Count";3;"ANCOM-II";"cdi_schubert"
"cdi_schubert.23";"9";"Count";1;"ANCOM-II";"cdi_schubert"
"cdi_schubert.24";"10";"Count";0;"ANCOM-II";"cdi_schubert"
"cdi_schubert.25";"11";"Count";3;"ANCOM-II";"cdi_schubert"
"cdi_schubert.26";"12";"Count";1;"ANCOM-II";"cdi_schubert"
"cdi_schubert.27";"13";"Count";0;"ANCOM-II";"cdi_schubert"
"cdi_schubert.28";"14";"Count";0;"ANCOM-II";"cdi_schubert"
"cdi_schubert.29";"1";"Count";0;"corncob";"cdi_schubert"
"cdi_schubert.30";"2";"Count";4;"corncob";"cdi_schubert"
"cdi_schubert.31";"3";"Count";2;"corncob";"cdi_schubert"
"cdi_schubert.32";"4";"Count";6;"corncob";"cdi_schubert"
"cdi_schubert.33";"5";"Count";0;"corncob";"cdi_schubert"
"cdi_schubert.34";"6";"Count";2;"corncob";"cdi_schubert"
"cdi_schubert.35";"7";"Count";1;"corncob";"cdi_schubert"
"cdi_schubert.36";"8";"Count";0;"corncob";"cdi_schubert"
"cdi_schubert.37";"9";"Count";2;"corncob";"cdi_schubert"
"cdi_schubert.38";"10";"Count";0;"corncob";"cdi_schubert"
"cdi_schubert.39";"11";"Count";2;"corncob";"cdi_schubert"
"cdi_schubert.40";"12";"Count";1;"corncob";"cdi_schubert"
"cdi_schubert.41";"13";"Count";0;"corncob";"cdi_schubert"
"cdi_schubert.42";"14";"Count";0;"corncob";"cdi_schubert"
"cdi_schubert.43";"1";"Count";1;"DESeq2";"cdi_schubert"
"cdi_schubert.44";"2";"Count";0;"DESeq2";"cdi_schubert"
"cdi_schubert.45";"3";"Count";1;"DESeq2";"cdi_schubert"
"cdi_schubert.46";"4";"Count";3;"DESeq2";"cdi_schubert"
"cdi_schubert.47";"5";"Count";3;"DESeq2";"cdi_schubert"
"cdi_schubert.48";"6";"Count";1;"DESeq2";"cdi_schubert"
"cdi_schubert.49";"7";"Count";1;"DESeq2";"cdi_schubert"
"cdi_schubert.50";"8";"Count";3;"DESeq2";"cdi_schubert"
"cdi_schubert.51";"9";"Count";3;"DESeq2";"cdi_schubert"
"cdi_schubert.52";"10";"Count";0;"DESeq2";"cdi_schubert"
"cdi_schubert.53";"11";"Count";3;"DESeq2";"cdi_schubert"
"cdi_schubert.54";"12";"Count";1;"DESeq2";"cdi_schubert"
"cdi_schubert.55";"13";"Count";0;"DESeq2";"cdi_schubert"
"cdi_schubert.56";"14";"Count";0;"DESeq2";"cdi_schubert"
"cdi_schubert.57";"1";"Count";0;"edgeR";"cdi_schubert"
"cdi_schubert.58";"2";"Count";3;"edgeR";"cdi_schubert"
"cdi_schubert.59";"3";"Count";3;"edgeR";"cdi_schubert"
"cdi_schubert.60";"4";"Count";3;"edgeR";"cdi_schubert"
"cdi_schubert.61";"5";"Count";1;"edgeR";"cdi_schubert"
"cdi_schubert.62";"6";"Count";1;"edgeR";"cdi_schubert"
"cdi_schubert.63";"7";"Count";1;"edgeR";"cdi_schubert"
"cdi_schubert.64";"8";"Count";1;"edgeR";"cdi_schubert"
"cdi_schubert.65";"9";"Count";3;"edgeR";"cdi_schubert"
"cdi_schubert.66";"10";"Count";0;"edgeR";"cdi_schubert"
"cdi_schubert.67";"11";"Count";3;"edgeR";"cdi_schubert"
"cdi_schubert.68";"12";"Count";1;"edgeR";"cdi_schubert"
"cdi_schubert.69";"13";"Count";0;"edgeR";"cdi_schubert"
"cdi_schubert.70";"14";"Count";0;"edgeR";"cdi_schubert"
"cdi_schubert.71";"1";"Count";0;"LEfSe";"cdi_schubert"
"cdi_schubert.72";"2";"Count";0;"LEfSe";"cdi_schubert"
"cdi_schubert.73";"3";"Count";1;"LEfSe";"cdi_schubert"
"cdi_schubert.74";"4";"Count";2;"LEfSe";"cdi_schubert"
"cdi_schubert.75";"5";"Count";3;"LEfSe";"cdi_schubert"
"cdi_schubert.76";"6";"Count";1;"LEfSe";"cdi_schubert"
"cdi_schubert.77";"7";"Count";1;"LEfSe";"cdi_schubert"
"cdi_schubert.78";"8";"Count";5;"LEfSe";"cdi_schubert"
"cdi_schubert.79";"9";"Count";3;"LEfSe";"cdi_schubert"
"cdi_schubert.80";"10";"Count";0;"LEfSe";"cdi_schubert"
"cdi_schubert.81";"11";"Count";3;"LEfSe";"cdi_schubert"
"cdi_schubert.82";"12";"Count";1;"LEfSe";"cdi_schubert"
"cdi_schubert.83";"13";"Count";0;"LEfSe";"cdi_schubert"
"cdi_schubert.84";"14";"Count";0;"LEfSe";"cdi_schubert"
"cdi_schubert.85";"1";"Count";1;"MaAsLin2";"cdi_schubert"
"cdi_schubert.86";"2";"Count";2;"MaAsLin2";"cdi_schubert"
"cdi_schubert.87";"3";"Count";0;"MaAsLin2";"cdi_schubert"
"cdi_schubert.88";"4";"Count";2;"MaAsLin2";"cdi_schubert"
"cdi_schubert.89";"5";"Count";1;"MaAsLin2";"cdi_schubert"
"cdi_schubert.90";"6";"Count";2;"MaAsLin2";"cdi_schubert"
"cdi_schubert.91";"7";"Count";1;"MaAsLin2";"cdi_schubert"
"cdi_schubert.92";"8";"Count";5;"MaAsLin2";"cdi_schubert"
"cdi_schubert.93";"9";"Count";2;"MaAsLin2";"cdi_schubert"
"cdi_schubert.94";"10";"Count";0;"MaAsLin2";"cdi_schubert"
"cdi_schubert.95";"11";"Count";3;"MaAsLin2";"cdi_schubert"
"cdi_schubert.96";"12";"Count";1;"MaAsLin2";"cdi_schubert"
"cdi_schubert.97";"13";"Count";0;"MaAsLin2";"cdi_schubert"
"cdi_schubert.98";"14";"Count";0;"MaAsLin2";"cdi_schubert"
"cdi_schubert.99";"1";"Count";0;"MaAsLin2 (rare)";"cdi_schubert"
"cdi_schubert.100";"2";"Count";0;"MaAsLin2 (rare)";"cdi_schubert"
"cdi_schubert.101";"3";"Count";0;"MaAsLin2 (rare)";"cdi_schubert"
"cdi_schubert.102";"4";"Count";2;"MaAsLin2 (rare)";"cdi_schubert"
"cdi_schubert.103";"5";"Count";3;"MaAsLin2 (rare)";"cdi_schubert"
"cdi_schubert.104";"6";"Count";2;"MaAsLin2 (rare)";"cdi_schubert"
"cdi_schubert.105";"7";"Count";2;"MaAsLin2 (rare)";"cdi_schubert"
"cdi_schubert.106";"8";"Count";5;"MaAsLin2 (rare)";"cdi_schubert"
"cdi_schubert.107";"9";"Count";2;"MaAsLin2 (rare)";"cdi_schubert"
"cdi_schubert.108";"10";"Count";0;"MaAsLin2 (rare)";"cdi_schubert"
"cdi_schubert.109";"11";"Count";3;"MaAsLin2 (rare)";"cdi_schubert"
"cdi_schubert.110";"12";"Count";1;"MaAsLin2 (rare)";"cdi_schubert"
"cdi_schubert.111";"13";"Count";0;"MaAsLin2 (rare)";"cdi_schubert"
"cdi_schubert.112";"14";"Count";0;"MaAsLin2 (rare)";"cdi_schubert"
"cdi_schubert.113";"1";"Count";9;"metagenomeSeq";"cdi_schubert"
"cdi_schubert.114";"2";"Count";3;"metagenomeSeq";"cdi_schubert"
"cdi_schubert.115";"3";"Count";0;"metagenomeSeq";"cdi_schubert"
"cdi_schubert.116";"4";"Count";3;"metagenomeSeq";"cdi_schubert"
"cdi_schubert.117";"5";"Count";0;"metagenomeSeq";"cdi_schubert"
"cdi_schubert.118";"6";"Count";2;"metagenomeSeq";"cdi_schubert"
"cdi_schubert.119";"7";"Count";1;"metagenomeSeq";"cdi_schubert"
"cdi_schubert.120";"8";"Count";0;"metagenomeSeq";"cdi_schubert"
"cdi_schubert.121";"9";"Count";0;"metagenomeSeq";"cdi_schubert"
"cdi_schubert.122";"10";"Count";0;"metagenomeSeq";"cdi_schubert"
"cdi_schubert.123";"11";"Count";1;"metagenomeSeq";"cdi_schubert"
"cdi_schubert.124";"12";"Count";1;"metagenomeSeq";"cdi_schubert"
"cdi_schubert.125";"13";"Count";0;"metagenomeSeq";"cdi_schubert"
"cdi_schubert.126";"14";"Count";0;"metagenomeSeq";"cdi_schubert"
"cdi_schubert.127";"1";"Count";9;"t-test (rare)";"cdi_schubert"
"cdi_schubert.128";"2";"Count";2;"t-test (rare)";"cdi_schubert"
"cdi_schubert.129";"3";"Count";0;"t-test (rare)";"cdi_schubert"
"cdi_schubert.130";"4";"Count";2;"t-test (rare)";"cdi_schubert"
"cdi_schubert.131";"5";"Count";1;"t-test (rare)";"cdi_schubert"
"cdi_schubert.132";"6";"Count";0;"t-test (rare)";"cdi_schubert"
"cdi_schubert.133";"7";"Count";0;"t-test (rare)";"cdi_schubert"
"cdi_schubert.134";"8";"Count";3;"t-test (rare)";"cdi_schubert"
"cdi_schubert.135";"9";"Count";2;"t-test (rare)";"cdi_schubert"
"cdi_schubert.136";"10";"Count";0;"t-test (rare)";"cdi_schubert"
"cdi_schubert.137";"11";"Count";1;"t-test (rare)";"cdi_schubert"
"cdi_schubert.138";"12";"Count";0;"t-test (rare)";"cdi_schubert"
"cdi_schubert.139";"13";"Count";0;"t-test (rare)";"cdi_schubert"
"cdi_schubert.140";"14";"Count";0;"t-test (rare)";"cdi_schubert"
"cdi_schubert.141";"1";"Count";2;"Wilcoxon (CLR)";"cdi_schubert"
"cdi_schubert.142";"2";"Count";9;"Wilcoxon (CLR)";"cdi_schubert"
"cdi_schubert.143";"3";"Count";4;"Wilcoxon (CLR)";"cdi_schubert"
"cdi_schubert.144";"4";"Count";2;"Wilcoxon (CLR)";"cdi_schubert"
"cdi_schubert.145";"5";"Count";0;"Wilcoxon (CLR)";"cdi_schubert"
"cdi_schubert.146";"6";"Count";0;"Wilcoxon (CLR)";"cdi_schubert"
"cdi_schubert.147";"7";"Count";0;"Wilcoxon (CLR)";"cdi_schubert"
"cdi_schubert.148";"8";"Count";0;"Wilcoxon (CLR)";"cdi_schubert"
"cdi_schubert.149";"9";"Count";1;"Wilcoxon (CLR)";"cdi_schubert"
"cdi_schubert.150";"10";"Count";0;"Wilcoxon (CLR)";"cdi_schubert"
"cdi_schubert.151";"11";"Count";1;"Wilcoxon (CLR)";"cdi_schubert"
"cdi_schubert.152";"12";"Count";1;"Wilcoxon (CLR)";"cdi_schubert"
"cdi_schubert.153";"13";"Count";0;"Wilcoxon (CLR)";"cdi_schubert"
"cdi_schubert.154";"14";"Count";0;"Wilcoxon (CLR)";"cdi_schubert"
"cdi_schubert.155";"1";"Count";0;"Wilcoxon (rare)";"cdi_schubert"
"cdi_schubert.156";"2";"Count";0;"Wilcoxon (rare)";"cdi_schubert"
"cdi_schubert.157";"3";"Count";1;"Wilcoxon (rare)";"cdi_schubert"
"cdi_schubert.158";"4";"Count";2;"Wilcoxon (rare)";"cdi_schubert"
"cdi_schubert.159";"5";"Count";3;"Wilcoxon (rare)";"cdi_schubert"
"cdi_schubert.160";"6";"Count";1;"Wilcoxon (rare)";"cdi_schubert"
"cdi_schubert.161";"7";"Count";1;"Wilcoxon (rare)";"cdi_schubert"
"cdi_schubert.162";"8";"Count";5;"Wilcoxon (rare)";"cdi_schubert"
"cdi_schubert.163";"9";"Count";3;"Wilcoxon (rare)";"cdi_schubert"
"cdi_schubert.164";"10";"Count";0;"Wilcoxon (rare)";"cdi_schubert"
"cdi_schubert.165";"11";"Count";3;"Wilcoxon (rare)";"cdi_schubert"
"cdi_schubert.166";"12";"Count";1;"Wilcoxon (rare)";"cdi_schubert"
"cdi_schubert.167";"13";"Count";0;"Wilcoxon (rare)";"cdi_schubert"
"cdi_schubert.168";"14";"Count";0;"Wilcoxon (rare)";"cdi_schubert"
"cdi_schubert.169";"1";"Count";0;"limma voom (TMM)";"cdi_schubert"
"cdi_schubert.170";"2";"Count";0;"limma voom (TMM)";"cdi_schubert"
"cdi_schubert.171";"3";"Count";1;"limma voom (TMM)";"cdi_schubert"
"cdi_schubert.172";"4";"Count";3;"limma voom (TMM)";"cdi_schubert"
"cdi_schubert.173";"5";"Count";1;"limma voom (TMM)";"cdi_schubert"
"cdi_schubert.174";"6";"Count";1;"limma voom (TMM)";"cdi_schubert"
"cdi_schubert.175";"7";"Count";2;"limma voom (TMM)";"cdi_schubert"
"cdi_schubert.176";"8";"Count";5;"limma voom (TMM)";"cdi_schubert"
"cdi_schubert.177";"9";"Count";3;"limma voom (TMM)";"cdi_schubert"
"cdi_schubert.178";"10";"Count";0;"limma voom (TMM)";"cdi_schubert"
"cdi_schubert.179";"11";"Count";3;"limma voom (TMM)";"cdi_schubert"
"cdi_schubert.180";"12";"Count";1;"limma voom (TMM)";"cdi_schubert"
"cdi_schubert.181";"13";"Count";0;"limma voom (TMM)";"cdi_schubert"
"cdi_schubert.182";"14";"Count";0;"limma voom (TMM)";"cdi_schubert"
"cdi_schubert.183";"1";"Count";7;"limma voom (TMMwsp)";"cdi_schubert"
"cdi_schubert.184";"2";"Count";9;"limma voom (TMMwsp)";"cdi_schubert"
"cdi_schubert.185";"3";"Count";1;"limma voom (TMMwsp)";"cdi_schubert"
"cdi_schubert.186";"4";"Count";1;"limma voom (TMMwsp)";"cdi_schubert"
"cdi_schubert.187";"5";"Count";0;"limma voom (TMMwsp)";"cdi_schubert"
"cdi_schubert.188";"6";"Count";0;"limma voom (TMMwsp)";"cdi_schubert"
"cdi_schubert.189";"7";"Count";0;"limma voom (TMMwsp)";"cdi_schubert"
"cdi_schubert.190";"8";"Count";0;"limma voom (TMMwsp)";"cdi_schubert"
"cdi_schubert.191";"9";"Count";1;"limma voom (TMMwsp)";"cdi_schubert"
"cdi_schubert.192";"10";"Count";0;"limma voom (TMMwsp)";"cdi_schubert"
"cdi_schubert.193";"11";"Count";1;"limma voom (TMMwsp)";"cdi_schubert"
"cdi_schubert.194";"12";"Count";0;"limma voom (TMMwsp)";"cdi_schubert"
"cdi_schubert.195";"13";"Count";0;"limma voom (TMMwsp)";"cdi_schubert"
"cdi_schubert.196";"14";"Count";0;"limma voom (TMMwsp)";"cdi_schubert"
"cdi_vincent.1";"1";"Count";0;"ALDEx2";"cdi_vincent"
"cdi_vincent.2";"2";"Count";0;"ALDEx2";"cdi_vincent"
"cdi_vincent.3";"3";"Count";3;"ALDEx2";"cdi_vincent"
"cdi_vincent.4";"4";"Count";2;"ALDEx2";"cdi_vincent"
"cdi_vincent.5";"5";"Count";4;"ALDEx2";"cdi_vincent"
"cdi_vincent.6";"6";"Count";3;"ALDEx2";"cdi_vincent"
"cdi_vincent.7";"7";"Count";2;"ALDEx2";"cdi_vincent"
"cdi_vincent.8";"8";"Count";2;"ALDEx2";"cdi_vincent"
"cdi_vincent.9";"9";"Count";2;"ALDEx2";"cdi_vincent"
"cdi_vincent.10";"10";"Count";0;"ALDEx2";"cdi_vincent"
"cdi_vincent.11";"11";"Count";1;"ALDEx2";"cdi_vincent"
"cdi_vincent.12";"12";"Count";1;"ALDEx2";"cdi_vincent"
"cdi_vincent.13";"13";"Count";0;"ALDEx2";"cdi_vincent"
"cdi_vincent.14";"14";"Count";0;"ALDEx2";"cdi_vincent"
"cdi_vincent.15";"1";"Count";2;"ANCOM-II";"cdi_vincent"
"cdi_vincent.16";"2";"Count";0;"ANCOM-II";"cdi_vincent"
"cdi_vincent.17";"3";"Count";0;"ANCOM-II";"cdi_vincent"
"cdi_vincent.18";"4";"Count";2;"ANCOM-II";"cdi_vincent"
"cdi_vincent.19";"5";"Count";4;"ANCOM-II";"cdi_vincent"
"cdi_vincent.20";"6";"Count";3;"ANCOM-II";"cdi_vincent"
"cdi_vincent.21";"7";"Count";2;"ANCOM-II";"cdi_vincent"
"cdi_vincent.22";"8";"Count";3;"ANCOM-II";"cdi_vincent"
"cdi_vincent.23";"9";"Count";2;"ANCOM-II";"cdi_vincent"
"cdi_vincent.24";"10";"Count";0;"ANCOM-II";"cdi_vincent"
"cdi_vincent.25";"11";"Count";1;"ANCOM-II";"cdi_vincent"
"cdi_vincent.26";"12";"Count";1;"ANCOM-II";"cdi_vincent"
"cdi_vincent.27";"13";"Count";0;"ANCOM-II";"cdi_vincent"
"cdi_vincent.28";"14";"Count";0;"ANCOM-II";"cdi_vincent"
"cdi_vincent.29";"1";"Count";3;"corncob";"cdi_vincent"
"cdi_vincent.30";"2";"Count";6;"corncob";"cdi_vincent"
"cdi_vincent.31";"3";"Count";5;"corncob";"cdi_vincent"
"cdi_vincent.32";"4";"Count";2;"corncob";"cdi_vincent"
"cdi_vincent.33";"5";"Count";1;"corncob";"cdi_vincent"
"cdi_vincent.34";"6";"Count";1;"corncob";"cdi_vincent"
"cdi_vincent.35";"7";"Count";0;"corncob";"cdi_vincent"
"cdi_vincent.36";"8";"Count";2;"corncob";"cdi_vincent"
"cdi_vincent.37";"9";"Count";0;"corncob";"cdi_vincent"
"cdi_vincent.38";"10";"Count";0;"corncob";"cdi_vincent"
"cdi_vincent.39";"11";"Count";0;"corncob";"cdi_vincent"
"cdi_vincent.40";"12";"Count";0;"corncob";"cdi_vincent"
"cdi_vincent.41";"13";"Count";0;"corncob";"cdi_vincent"
"cdi_vincent.42";"14";"Count";0;"corncob";"cdi_vincent"
"cdi_vincent.43";"1";"Count";7;"DESeq2";"cdi_vincent"
"cdi_vincent.44";"2";"Count";1;"DESeq2";"cdi_vincent"
"cdi_vincent.45";"3";"Count";3;"DESeq2";"cdi_vincent"
"cdi_vincent.46";"4";"Count";0;"DESeq2";"cdi_vincent"
"cdi_vincent.47";"5";"Count";2;"DESeq2";"cdi_vincent"
"cdi_vincent.48";"6";"Count";3;"DESeq2";"cdi_vincent"
"cdi_vincent.49";"7";"Count";1;"DESeq2";"cdi_vincent"
"cdi_vincent.50";"8";"Count";1;"DESeq2";"cdi_vincent"
"cdi_vincent.51";"9";"Count";0;"DESeq2";"cdi_vincent"
"cdi_vincent.52";"10";"Count";0;"DESeq2";"cdi_vincent"
"cdi_vincent.53";"11";"Count";1;"DESeq2";"cdi_vincent"
"cdi_vincent.54";"12";"Count";1;"DESeq2";"cdi_vincent"
"cdi_vincent.55";"13";"Count";0;"DESeq2";"cdi_vincent"
"cdi_vincent.56";"14";"Count";0;"DESeq2";"cdi_vincent"
"cdi_vincent.57";"1";"Count";5;"edgeR";"cdi_vincent"
"cdi_vincent.58";"2";"Count";4;"edgeR";"cdi_vincent"
"cdi_vincent.59";"3";"Count";4;"edgeR";"cdi_vincent"
"cdi_vincent.60";"4";"Count";3;"edgeR";"cdi_vincent"
"cdi_vincent.61";"5";"Count";1;"edgeR";"cdi_vincent"
"cdi_vincent.62";"6";"Count";1;"edgeR";"cdi_vincent"
"cdi_vincent.63";"7";"Count";0;"edgeR";"cdi_vincent"
"cdi_vincent.64";"8";"Count";1;"edgeR";"cdi_vincent"
"cdi_vincent.65";"9";"Count";0;"edgeR";"cdi_vincent"
"cdi_vincent.66";"10";"Count";0;"edgeR";"cdi_vincent"
"cdi_vincent.67";"11";"Count";0;"edgeR";"cdi_vincent"
"cdi_vincent.68";"12";"Count";1;"edgeR";"cdi_vincent"
"cdi_vincent.69";"13";"Count";0;"edgeR";"cdi_vincent"
"cdi_vincent.70";"14";"Count";0;"edgeR";"cdi_vincent"
"cdi_vincent.71";"1";"Count";0;"LEfSe";"cdi_vincent"
"cdi_vincent.72";"2";"Count";2;"LEfSe";"cdi_vincent"
"cdi_vincent.73";"3";"Count";2;"LEfSe";"cdi_vincent"
"cdi_vincent.74";"4";"Count";2;"LEfSe";"cdi_vincent"
"cdi_vincent.75";"5";"Count";3;"LEfSe";"cdi_vincent"
"cdi_vincent.76";"6";"Count";2;"LEfSe";"cdi_vincent"
"cdi_vincent.77";"7";"Count";2;"LEfSe";"cdi_vincent"
"cdi_vincent.78";"8";"Count";3;"LEfSe";"cdi_vincent"
"cdi_vincent.79";"9";"Count";2;"LEfSe";"cdi_vincent"
"cdi_vincent.80";"10";"Count";0;"LEfSe";"cdi_vincent"
"cdi_vincent.81";"11";"Count";1;"LEfSe";"cdi_vincent"
"cdi_vincent.82";"12";"Count";1;"LEfSe";"cdi_vincent"
"cdi_vincent.83";"13";"Count";0;"LEfSe";"cdi_vincent"
"cdi_vincent.84";"14";"Count";0;"LEfSe";"cdi_vincent"
"cdi_vincent.85";"1";"Count";3;"MaAsLin2";"cdi_vincent"
"cdi_vincent.86";"2";"Count";5;"MaAsLin2";"cdi_vincent"
"cdi_vincent.87";"3";"Count";0;"MaAsLin2";"cdi_vincent"
"cdi_vincent.88";"4";"Count";3;"MaAsLin2";"cdi_vincent"
"cdi_vincent.89";"5";"Count";2;"MaAsLin2";"cdi_vincent"
"cdi_vincent.90";"6";"Count";0;"MaAsLin2";"cdi_vincent"
"cdi_vincent.91";"7";"Count";1;"MaAsLin2";"cdi_vincent"
"cdi_vincent.92";"8";"Count";2;"MaAsLin2";"cdi_vincent"
"cdi_vincent.93";"9";"Count";2;"MaAsLin2";"cdi_vincent"
"cdi_vincent.94";"10";"Count";0;"MaAsLin2";"cdi_vincent"
"cdi_vincent.95";"11";"Count";1;"MaAsLin2";"cdi_vincent"
"cdi_vincent.96";"12";"Count";1;"MaAsLin2";"cdi_vincent"
"cdi_vincent.97";"13";"Count";0;"MaAsLin2";"cdi_vincent"
"cdi_vincent.98";"14";"Count";0;"MaAsLin2";"cdi_vincent"
"cdi_vincent.99";"1";"Count";3;"MaAsLin2 (rare)";"cdi_vincent"
"cdi_vincent.100";"2";"Count";5;"MaAsLin2 (rare)";"cdi_vincent"
"cdi_vincent.101";"3";"Count";2;"MaAsLin2 (rare)";"cdi_vincent"
"cdi_vincent.102";"4";"Count";1;"MaAsLin2 (rare)";"cdi_vincent"
"cdi_vincent.103";"5";"Count";4;"MaAsLin2 (rare)";"cdi_vincent"
"cdi_vincent.104";"6";"Count";0;"MaAsLin2 (rare)";"cdi_vincent"
"cdi_vincent.105";"7";"Count";0;"MaAsLin2 (rare)";"cdi_vincent"
"cdi_vincent.106";"8";"Count";1;"MaAsLin2 (rare)";"cdi_vincent"
