genus,aldex2,ancom,corncob,deseq2,edger,lefse,limma_voom_TMM,limma_voom_TMMwsp,maaslin2,maaslin2rare,metagenomeSeq,ttestrare,wilcoxonclr,wilcoxonrare
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Lachnospiraceae___g__Clostridium_XlVa,0,0,0,1,2,1,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Lachnospiraceae___g__Clostridium_XlVb,1,0,1,1,1,1,1,1,1,1,1,1,1,1
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Lachnospiraceae___g__Coprococcus,1,0,0,0,0,1,0,0,0,0,0,0,1,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Lachnospiraceae___g__Dorea,2,0,1,1,1,2,1,1,1,1,0,1,2,1
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Lachnospiraceae___g__Hespellia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Lachnospiraceae___g__Howardella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Lachnospiraceae___g__Lachnobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Lachnospiraceae___g__Lactonifactor,0,0,1,1,1,0,2,1,1,0,1,0,1,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Lachnospiraceae___g__Robinsoniella,0,0,0,0,0,1,1,0,1,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Lachnospiraceae___g__Roseburia,3,1,3,2,3,3,2,2,3,2,0,2,3,2
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Lachnospiraceae___g__Ruminococcus2,1,0,0,1,2,1,0,0,0,0,0,0,1,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Peptococcaceae_1___g__Peptococcus,0,0,0,0,0,1,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Peptostreptococcaceae___g__Clostridium_XI,1,0,1,0,2,1,0,0,0,0,0,0,1,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Ruminococcaceae___g__Acetanaerobacterium,0,0,1,0,1,0,1,0,0,0,0,0,1,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Ruminococcaceae___g__Acetivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Ruminococcaceae___g__Anaerofilum,0,0,0,0,0,0,1,1,1,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Ruminococcaceae___g__Butyricicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Ruminococcaceae___g__Clostridium_III,0,0,0,0,2,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Ruminococcaceae___g__Clostridium_IV,1,0,2,2,3,3,3,3,2,0,0,0,2,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Ruminococcaceae___g__Faecalibacterium,1,0,0,0,0,1,0,0,0,0,0,0,1,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Ruminococcaceae___g__Flavonifractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Ruminococcaceae___g__Gemmiger,1,0,1,1,2,1,0,0,0,0,0,0,1,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Ruminococcaceae___g__Oscillibacter,0,0,0,0,0,2,1,1,0,0,0,0,1,1
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Ruminococcaceae___g__Pseudoflavonifractor,0,0,1,1,1,1,1,2,0,0,0,0,1,0
