,FP_class.FP_class,FP_class.Raw_FP_per,FP_class.Tool,depth_diff,geo_diff,mean_depth,dataset,dataset_num
Wilcoxon (CLR).1,FALSE,0,Wilcoxon (CLR),0.0718797001052741,0.000224614176964844,8499.52653927813,Freshwater - Arctic,Freshwater - Arctic
 Mean Depth: 8500
Wilcoxon (CLR).2,FALSE,0,Wilcoxon (CLR),0.00936610580267514,0.000427670701286686,8499.52653927813,Freshwater - Arctic,Freshwater - Arctic
 Mean Depth: 8500
Wilcoxon (CLR).3,FALSE,0,Wilcoxon (CLR),0.00985570690577047,0.00032642116959436,8499.52653927813,Freshwater - Arctic,Freshwater - Arctic
 Mean Depth: 8500
Wilcoxon (CLR).4,FALSE,0,Wilcoxon (CLR),0.0277836268770959,0.000194461245259347,8499.52653927813,Freshwater - Arctic,Freshwater - Arctic
 Mean Depth: 8500
Wilcoxon (CLR).5,FALSE,0,Wilcoxon (CLR),0.0369536291832151,0.00048299672551444,8499.52653927813,Freshwater - Arctic,Freshwater - Arctic
 Mean Depth: 8500
Wilcoxon (CLR).6,FALSE,0,Wilcoxon (CLR),0.0650557333149679,0.000202790036567091,8499.52653927813,Freshwater - Arctic,Freshwater - Arctic
 Mean Depth: 8500
Wilcoxon (CLR).7,FALSE,0,Wilcoxon (CLR),0.0255838925462298,0.000825816820804182,8499.52653927813,Freshwater - Arctic,Freshwater - Arctic
 Mean Depth: 8500
Wilcoxon (CLR).8,FALSE,0,Wilcoxon (CLR),0.0153647450191917,0.000632954195820545,8499.52653927813,Freshwater - Arctic,Freshwater - Arctic
 Mean Depth: 8500
Wilcoxon (CLR).9,FALSE,0,Wilcoxon (CLR),0.0270162520869383,0.000489737087183473,8499.52653927813,Freshwater - Arctic,Freshwater - Arctic
 Mean Depth: 8500
Wilcoxon (CLR).10,FALSE,0,Wilcoxon (CLR),0.0532163792933808,0.000938555800635399,8499.52653927813,Freshwater - Arctic,Freshwater - Arctic
 Mean Depth: 8500
