	taxa_id	W	detected_0.9	detected_0.8	detected_0.7	detected_0.6
69	449523f8a495d62cd9b61d6cdd9c10a6	1	FALSE	FALSE	FALSE	FALSE
70	edac8603787e4464e5882e126349d48c	0	FALSE	FALSE	FALSE	FALSE
71	51554d0d5b711a534b56ebc00d2ab382	1	FALSE	FALSE	FALSE	FALSE
72	5420d66e334c358653902cebf8003c4f	11	FALSE	FALSE	FALSE	FALSE
73	4240517a722cf624801851166df8387a	21	FALSE	FALSE	FALSE	FALSE
74	c2e7eafc21addf55f9cc9f9d4e92b211	0	FALSE	FALSE	FALSE	FALSE
75	44a3cb8dbadcc938b73aebe5c7261124	9	FALSE	FALSE	FALSE	FALSE
76	55ff111698873e7d223deecd590cdc72	0	FALSE	FALSE	FALSE	FALSE
77	422dd0c663285a3e6d8a75448e7fb2e7	0	FALSE	FALSE	FALSE	FALSE
78	b41fe59af35b8cc76cfa291de5cfb454	0	FALSE	FALSE	FALSE	FALSE
79	0ab4107432539cd51d3e2926ada4e865	88	FALSE	FALSE	FALSE	FALSE
80	765be11912ab39153ab5e919ad2c5271	1	FALSE	FALSE	FALSE	FALSE
81	81a724a1bdb05dab9792207e216121dd	0	FALSE	FALSE	FALSE	FALSE
82	548e22f7baa173b0f6fb2e1bc3c96aaf	1	FALSE	FALSE	FALSE	FALSE
83	a950b08d6c4b35e036108b37ef41b54f	0	FALSE	FALSE	FALSE	FALSE
84	bcba65cea22f5fd3479a40424f0e0ddf	19	FALSE	FALSE	FALSE	FALSE
85	27740e647969e0d19aa93d0f83a8d3d1	19	FALSE	FALSE	FALSE	FALSE
86	36634d7bdb620c5c831a8cdb5b72e487	0	FALSE	FALSE	FALSE	FALSE
87	a3140ce65e2648b251092655110eb887	3	FALSE	FALSE	FALSE	FALSE
88	5333b1c3f0e1e0257a8995a9c5f8a932	52	FALSE	FALSE	FALSE	FALSE
89	1c1610602543e4f9bbc316d98a385243	104	FALSE	FALSE	FALSE	FALSE
90	bc1f5b1e64e61c37e2ed52a83a39ff00	0	FALSE	FALSE	FALSE	FALSE
91	20a40715306449de09f237ebc0c1d433	2	FALSE	FALSE	FALSE	FALSE
92	2c14f8314d0330503bad44e7bc1d65fa	4	FALSE	FALSE	FALSE	FALSE
