	S5-MALL-013	S2-MALL-018	S1-MALL-018	S1-MALL-014	S7-MALL-016	S2-MALL-016	S5-MALL-010	S1-MALL-007	S2-MALL-011	S1-MALL-017	S3-MALL-008	S4-MALL-010	S1-MALL-005	S5-MALL-016	S3-MALL-012	S3-MALL-013	S6-MALL-016	S1-MALL-010	S2-MALL-013	S1-MALL-015	S3-MALL-010	S2-MALL-017	S6-MALL-013	S3-MALL-016	S4-MALL-016	S1-MALL-008	S6-MALL-010	S2-MALL-010	S1-MALL-016	S1-MALL-012	S1-MALL-004	S4-MALL-013	S1-MALL-006	S2-MALL-008	S3-MALL-014	S4-MALL-015
Groupings	Y	No	No	No	No	No	No	Y	Y	No	Y	No	No	No	Y	Y	No	No	Y	Y	No	No	Y	No	No	Y	No	No	No	Y	Y	Y	Y	Y	No	Y
26ef3c79a722603a948675bd6c19c609	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
b21ea849fa275b4cefd611e72bae61a0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02b2383ce3892d0422177fe43fa6f966	 0	 0	 0	 0	 2	10	 0	 0	 0	 0	 0	 0	 0	19	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 0	 0
4c98471f6effefa7877c3f47547bfa86	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b4f03ad5ca5004c5c0b183e0670b66a6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
b08ccd28f303c6debf6e8ad3e39bd0a6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bf0e636f98a00ea1acd3788d58fdfe38	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28f523d68a0832968a7355e58051bbaf	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
163843ed695c7783e7c061b61b0b99a9	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	19	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
68259c9ecbadd42a330106348e52e404	 0	 0	 0	 0	 2	 0	 1	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0	26	 0	 0	 0	 0	 0	 0	 0	 0	 0
d0e71d60e80c784c12de2ea20ce001c5	  0	  0	  0	  0	  1	  0	  0	187	 10	  0	  3	  0	  0	  0	 88	  0	  9	  0	 20	  0	  4	  0	  1	  1	  0	  0	  0	  0	  5	102	  1	  0	  0	 46	  0	 18
b7fb6853253b2e65e675abf89bbb0435	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ad39f2a2446b4b6317640326e11de892	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
975050d7195edf6b010b41923ee6d7ff	0	0	0	0	0	0	7	3	0	0	0	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	4	6	1	0	0	4	6	0	0	0
b2981d5dd54de0daa97d0e9693597976	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95d52c8631d20bc33a919212e63088cd	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0
3138a67b87390f8d25e95bfcb94ebc9b	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	6	0	5	0	0	0	0	5	1	0	0	0	0	0	0	0	0
71310c850cefbf8f3c0a8e80607583f2	 0	 0	 0	 0	 0	39	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
dcaeea7e358820b02397b680458175ff	 0	 0	 0	 0	 0	28	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
187fe711d2472a4b3a37413f466afbab	 0	 0	 0	 0	 0	11	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
56cd04875a5b4ebbf355a193c95b2f8c	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6cdbb7406f4acd5eec6e2a8656e61ecc	  0	  0	  0	  0	  0	  4	  0	 13	  8	  0	  0	  0	  0	  0	  2	  5	 75	  0	  0	  5	  0	 30	  1	  0	  0	  0	  2	  0	 80	102	158	  0	  0	  0	  1	  0
1ce6b03f55ca1901a6069934b9536054	  0	  0	  0	  0	  0	  1	  1	  0	 20	 75	  0	  0	  0	  0	  2	 93	  0	  2	  0	  1	  0	 10	207	  4	  4	  1	 10	 18	  0	  0	  0	 14	  6	  0	  0	  0
d7465c0e6f817aacd1c7a99b12dfe12b	  0	  0	  0	  0	  0	  2	  4	  0	  0	  0	  0	  0	  0	  0	 54	  2	 84	  0	  0	  0	  0	  0	  0	  0	  0	  2	  2	  2	  0	106	  0	  0	  0	  0	  0	  0
0131c4e6bf76e602a8f39e9c4a5db425	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9fa0243d6800c61cf5c2098369bf15a3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f6e2bf3869898bd905df30099e4bec71	  0	  0	  0	  0	  0	  1	 14	  0	  0	  0	  0	  0	  0	  0	335	  0	 44	  0	  0	  0	  3	  0	  3	  0	  0	  5	  4	  2	  0	321	  0	  0	  0	 10	  0	  0
c2929d9d6596f1fb4485addbfaaede33	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	48	 0	 0	 0	 5	 0	 0	 0	 0	 1	 0	 0	 0
fc00fcabeae23ca4eb463365342bf181	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
bda5c4db5cd56437531eeb510ceda8e3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	6	0	0	0	0	0	0	0
0c480bf73faf15402f98bf3781c96fd4	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	16	 0	 0	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0
6b8232d2924c9280c58bd6737440dc38	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	10	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
9bd06dccfa532b0ff0340efb2ef62622	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e3fe2a8c171461adc45acf08d6ebe021	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
