	logFC	AveExpr	t	P.Value	adj.P.Val	B
5e594a29e3393825499e1a9a0c210ea0	2.02823007766474	8.81683448043233	1.81725752446829	0.0744394184581539	0.17978143953311	-4.33002223453955
954ce9a7ede67cd652c46b8d2b76f22a	0.314964670589533	6.78796375813608	0.429748519115535	0.669000060923076	0.759113215681033	-6.32516559946635
446ddc82ac37f88765f4d87637baece7	1.05423286967902	9.27513596455595	0.910353295098623	0.366472762979247	0.484793742986365	-5.39838894635549
7ffa9ff02ae5f830ea8b4ea9c4908d28	0.713086950245667	6.67845890067877	1.18695795713816	0.240171233353214	0.348828012028875	-5.74204466683495
02bddf815fc6ec58e0ce1a8f1ce8612b	0.576046121578791	6.5308710662559	0.9544374898108	0.343895522293184	0.459545666211577	-6.06168913653719
43c8f5eb141cce9f341c81482c3902a2	0.693465367998014	8.46101676504457	0.662162953144683	0.510537190057119	0.615017103550385	-5.68086082228705
00e9a919faaf13cf808e66c5b6892f58	1.82432369798947	8.69178030327102	1.66631232481096	0.101142035230272	0.216685902496708	-4.56872320616851
fc804131c275b60a86bf3623aa9639cf	1.57393060424572	7.23454237799754	2.06721720462028	0.043268669934294	0.136245166720198	-4.18752463579092
208bee72dd6f71715fe9a85a6740f90f	0.230042657437156	6.62739272133842	0.382581273068225	0.703454221877067	0.784679338598042	-6.42386871686714
2cd291fafb8383e84da700a1ba9025fd	0.0149625621472795	6.56199770303704	0.0243840342891396	0.980631512234379	0.990670364769113	-6.51305417163586
29185a5589c790f5f3420ca8934bc9f2	1.08898182196703	6.98505098363525	1.5651916369798	0.123077497651023	0.234600961316891	-5.11643937940982
1b9cebbc4841c2e62e30bee82e0a2e0a	-0.607461594662939	6.74134478181198	-0.888409573986375	0.378057032679749	0.495884331522231	-6.09066748457558
f6ec1017b7678f147c32150fe0305a32	2.02637634198023	7.23208490510858	2.51799916688279	0.0146379053385413	0.0923361192140656	-3.21543615512613
dff15d2cae8efc6c875d7d08cfc197fe	0.0165435831789025	8.27256602990669	0.0194518795611736	0.984548606662664	0.992085820876349	-6.0507221523468
052c54e9e757c91519c3123cc36636ee	-0.799403791403895	8.06053122029951	-1.01192176544751	0.315854988109905	0.427500388791427	-5.62473388242502
360959711fd78a186b3f0ecdbeebbe26	0.133074971204836	6.51700453303908	0.259155784410384	0.796449399351399	0.855776752568391	-6.49911075290633
b30870ec90cb1da81c6a257b94cb3fdc	-0.941905521270279	7.2622344347203	-1.77145687493659	0.0818344384579598	0.188143844344535	-4.86993547459415
06215e92a88b4c0bc04db4407f457b81	1.2755771791397	7.68316450966458	1.67405989852119	0.0996022934684382	0.21492052258661	-4.71654579374209
956f202ac5c3595c5435540cfc374fb9	-0.869105148540226	7.12712846251933	-1.64016283057026	0.106483188942669	0.219638538405793	-5.11383343768058
d328821148aadec372ae2badf830a0af	-0.613807383021062	8.10420441943033	-0.804141275781088	0.424659020284226	0.536813863576579	-5.79593794063536
f70a02fcbd4f653788850f5a8dfd6de2	-1.24525116272725	7.53605676006554	-1.42710893587303	0.159007882640351	0.267620443918606	-5.31979031858761
068db80412ea0132c5d3ef84cdad981e	0.391063160599493	8.91706887670422	0.326347365121881	0.745357682292331	0.81501727876825	-5.79713022116682
81230f14fc1bae46d60183250ea7f53c	-0.836175460002432	7.00937579978394	-1.70747083581695	0.0931806744231394	0.205122898868505	-5.04007685744128
