metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
comparison	444bb101a33f7641f3f72757ff5114b2	Y	-0.0117026563287919	0.00717298298077891	36	4	0.112016444438528	0.473455083560955
comparison	d13c63b2cc2807e9e1ccef02d9f537c4	Y	-0.00782766717134854	0.00462274078990384	36	4	0.0995436913983412	0.473455083560955
comparison	b0d26f4970a76dc4a7328ec36c80cd37	Y	-0.00861322346453108	0.00416206432829266	36	5	0.0461707375795702	0.473455083560955
comparison	254d025aa486dc327b138a6a8488c36d	Y	-0.0327596861934305	0.0136650506757376	36	9	0.0221546629311187	0.473455083560955
comparison	98982ad6064699f5632bc562c9de8c3e	Y	-0.0198960926719629	0.00958653423337415	36	7	0.0455819131401679	0.473455083560955
comparison	fd65b8265ffc439611c35417706e25d1	Y	-0.00573530021143225	0.0037018290832571	36	3	0.130565143502784	0.473455083560955
comparison	ca50bb1c15efaaea0ec274a03faee390	Y	-0.0170884234358421	0.00936671747056125	36	6	0.0768937511076183	0.473455083560955
comparison	8276b3032dc62cf54a4c985f8d4686b0	Y	-0.00984927174088343	0.00818879582332663	36	3	0.237372950453229	0.473455083560955
comparison	c2b6c3f919486fbaa631bd98333c7d43	Y	-0.00264391646256435	0.00207354124728914	36	2	0.210927893455881	0.473455083560955
comparison	46163eb432246ac992c7832b604e54c2	Y	-0.00815949650025559	0.00402972339936513	36	5	0.0507955434673033	0.473455083560955
comparison	008ecca12a604de7f31269b988c49c8a	Y	-0.00438090474731192	0.00287337519333376	36	3	0.136594124116524	0.473455083560955
comparison	62062139737a93da2b68094691d4c197	Y	-0.003739536962443	0.00293282328613434	36	2	0.210931092812664	0.473455083560955
comparison	b2e1afec744e257e779ad655e0db44e7	Y	-0.00547757902472919	0.00393601044415804	36	3	0.173064534265665	0.473455083560955
comparison	20e84212d7ffe4009bc4377738a2c325	Y	-0.00154882171341992	0.00173672089534656	36	1	0.378764066848759	0.473455083560955
comparison	5f521ef477e928671444274c10e37296	Y	-0.0116059071857659	0.00477978723564202	36	6	0.0206197952870672	0.473455083560955
comparison	57a4aca4aed837c224a3dc227ece50ea	Y	-0.00268349700379924	0.00300905215798356	36	1	0.378764066848759	0.473455083560955
comparison	cf5e5bd74edafe46fce836e8d016b15a	Y	-0.0254736431944114	0.0139376239416155	36	7	0.07638344891862	0.473455083560955
comparison	f95843a02554ac41c0b0093c3a9644cc	Y	-0.00473002374450869	0.00419452664576576	36	2	0.267356381944091	0.473455083560955
comparison	4607df6bd986d6b7f7a0a5d8b1a2532d	Y	-0.00419273817598427	0.00260265122604566	36	3	0.116437008881328	0.473455083560955
comparison	53238008193a04476e76864020df6027	Y	-0.00419422683240157	0.00362423373619211	36	2	0.255226839020278	0.473455083560955
comparison	ba99a1e307f3a33355c5233769c00ce8	Y	-0.00480450282781499	0.00477852766667969	36	5	0.321789358130608	0.473455083560955
comparison	017b7db772cf745b2a70595893dbf6a7	Y	-0.00109509474914442	0.00122794890899607	36	1	0.378764066848759	0.473455083560955
comparison	13cb052c16be10b9ecc56923bdaa437b	Y	-0.00354458496240917	0.00294905957543272	36	2	0.237692740107379	0.473455083560955
comparison	2947f6570bae2386e5baa76db11eeec6	Y	-0.00109509474914442	0.00122794890899607	36	1	0.378764066848759	0.473455083560955
comparison	9eb7c096136b077fa79c4c7b1710ef61	Y	-0.00423231871721916	0.00339418640187091	36	2	0.220944353691056	0.473455083560955
comparison	54e223fcb424dd3c719462d4b6db4fea	Y	-0.00109509474914442	0.00122794890899607	36	1	0.378764066848759	0.473455083560955
comparison	5b13321b3c031aa44306246a271b531a	Y	-0.00299215797050063	0.00239956730733839	36	2	0.220935092920648	0.473455083560955
comparison	869e382015da63c5b7204666542b08bf	Y	-0.00350481806565755	0.00355267806903462	36	4	0.330842717454942	0.473455083560955
comparison	79457c402888ea7608b43bf1e09e70cb	Y	-0.00831957143686421	0.00400787823042874	36	5	0.0455442478385233	0.473455083560955
comparison	8cf30506fc1bda966716247e99325ab7	Y	-0.00189706322135621	0.0021272101932558	36	1	0.378764066848759	0.473455083560955
